minute_key,date,date_iso,phase,phase_detail,os_n_total,os_n_used,os_km_max,os_km_avg,local_n_unique,local_km_max,capture_ratio,os_bin_0-50,local_bin_0-50,capture_bin_0-50,os_bin_50-100,local_bin_50-100,capture_bin_50-100,os_bin_100-150,local_bin_100-150,capture_bin_100-150,os_bin_150-200,local_bin_150-200,capture_bin_150-200,os_bin_200-9999,local_bin_200-9999,capture_bin_200-9999
29445064,20251225,2025-12-25,RTL-SDR,Unknown,16,15,165.462,84.929,0,0.0,0.0,4.755744939887384,0,0.0,5.475519697114957,0,0.0,4.196605509526841,0,0.0,0.572129853470818,0,0.0,0.0,0,
29445065,20251225,2025-12-25,RTL-SDR,Unknown,19,15,151.622,90.388,0,0.0,0.0,4.162504162504162,0,0.0,4.641626241763103,0,0.0,5.951690551172315,0,0.0,0.24417904456041917,0,,0.0,0,
29445066,20251225,2025-12-25,RTL-SDR,Unknown,21,18,153.016,89.648,0,0.0,0.0,4.820309570992448,0,0.0,6.258851880822321,0,0.0,6.575933846787519,0,0.0,0.34490470139771245,0,,0.0,0,
29445067,20251225,2025-12-25,RTL-SDR,Unknown,22,17,209.096,100.699,0,0.0,0.0,4.292885930445147,0,0.0,4.3632250376763375,0,0.0,6.789886592296293,0,0.0,1.393702223957741,0,0.0,0.1603002156244817,0,
29445068,20251225,2025-12-25,RTL-SDR,Unknown,22,21,171.64,98.2,0,0.0,0.0,5.288979780985866,0,0.0,5.334335067470009,0,0.0,8.877029390216272,0,0.0,1.4996557613278538,0,0.0,0.0,0,
29445069,20251225,2025-12-25,RTL-SDR,Unknown,20,17,169.977,99.486,0,0.0,0.0,4.017962656582368,0,0.0,4.017962656582368,0,0.0,7.394030700789458,0,0.0,1.570043986045806,0,0.0,0.0,0,
29445070,20251225,2025-12-25,RTL-SDR,Unknown,21,17,180.556,99.468,0,0.0,0.0,3.8308650543982834,0,0.0,3.8308650543982834,0,0.0,7.854542080552546,0,0.0,1.4837278106508867,0,0.0,0.0,0,
29445071,20251225,2025-12-25,RTL-SDR,Unknown,20,18,192.849,104.55,0,0.0,0.0,4.077933846850929,0,0.0,4.077933846850929,0,0.0,7.171103724645862,0,0.0,2.6730285816522805,0,0.0,0.0,0,
29445072,20251225,2025-12-25,RTL-SDR,Unknown,17,15,169.67,104.165,0,0.0,0.0,3.4862641193696833,0,0.0,3.4862641193696833,0,0.0,6.096657904601552,0,0.0,1.9308138566590811,0,0.0,0.0,0,
29445073,20251225,2025-12-25,RTL-SDR,Unknown,18,17,181.735,106.956,0,0.0,0.0,3.7188708633030574,0,0.0,3.7188708633030574,0,0.0,6.7357680587631386,0,0.0,2.8264902146307462,0,0.0,0.0,0,
29445074,20251225,2025-12-25,RTL-SDR,Unknown,19,13,191.756,105.269,0,0.0,0.0,3.0759038425137235,0,0.0,3.0759038425137235,0,0.0,4.541314948906247,0,0.0,2.3068773660663067,0,0.0,0.0,0,
29445075,20251225,2025-12-25,RTL-SDR,Unknown,17,11,155.795,90.602,0,0.0,0.0,3.2269798988488487,0,0.0,3.365466618029242,0,0.0,3.0913842426554736,0,0.0,1.3161692404664356,0,0.0,0.0,0,
29445076,20251225,2025-12-25,RTL-SDR,Unknown,17,11,155.62,79.609,0,0.0,0.0,3.7641326069698042,0,0.0,4.2154691333247065,0,0.0,2.835805844059027,0,0.0,0.18459241564646223,0,,0.0,0,
29445077,20251225,2025-12-25,RTL-SDR,Unknown,17,11,145.811,80.72,0,0.0,0.0,3.422995058439861,0,0.0,3.890872024222511,0,0.0,3.686132917337628,0,0.0,0.0,0,,0.0,0,
